dataset_folder,model,seed_folder,dataset_exp_name,participation_method,seed_num,score,chance_level,chance_source,category_en,category_ch,subtype,dataset_name,path
Awakening_balanced_within_subject_linear_downsample,bendr,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.47491795593061414,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,bendr,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.5181684017390611,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,bendr,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.5247415683921669,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.9831888626214866,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.9713954448297529,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.9775134527390614,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.9849362536776725,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.988111633880782,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.9693408277976494,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,cbramod,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.8169216274449598,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
Awakening_balanced_within_subject_linear_downsample,cbramod,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.8049082924308963,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/cbramod/summary.json
Awakening_balanced_within_subject_linear_downsample,cbramod,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.7908254519719489,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/cbramod/summary.json
